子系统名称,所属主系统
开放存,HOP
联合贷平台,CLMP
用户平台,CLMP
邮件平台,CLMP
业务平台,CLMP
批量任务,CLMP
数据模块,CLMP
客户关系管理平台,CCMP
身份证识别,FRC
银行卡识别,FRC
身份证质检,OCRC
通用发票识别,OCRC
商业保单识别,OCRC
企业证件识别,OCRC
车辆相关证件识别,OCRC
活体检测,FRC
人脸识别,FRC
基础防伪套件,FRC
增强防伪套件,FRC
声纹比对,FRC
新企业服务总线应用,NESB
新企业服务监控应用,NESB
账户管理模块,ECIF
办公电子签章,SEAL
无纸化签名,SEAL
九四智催,NDCS
催收工作手机,NDCS
EAST数据质量检核工具,RBDS
二代支付,UPPS
超级网银,UPPS
城银清算系统,UPPS
网联清算,EPAY
云闪付,EPAY
银企直连,CIB
